Date,Id,Players,Time,Seconds,Link
2018-11-13,z03lqd9z,Jumpyluff,2h 11m 53s,7913,https://www.speedrun.com/spyrortconsoletimetrials/runs/z03lqd9z
2018-11-14,yo2dqvjz,CountCreep,2h 06m 36s,7596,https://www.speedrun.com/spyrortconsoletimetrials/runs/yo2dqvjz
2018-11-15,ywp6wv3z,Jumpyluff,1h 35m 14s,5714,https://www.speedrun.com/spyrortconsoletimetrials/runs/ywp6wv3z
2018-11-16,zg7q6xvz,Jumpyluff,1h 29m 07s,5347,https://www.speedrun.com/spyrortconsoletimetrials/runs/zg7q6xvz
2018-11-17,zp0dvrrm,Jumpyluff,1h 28m 14s,5294,https://www.speedrun.com/spyrortconsoletimetrials/runs/zp0dvrrm
2018-11-21,m3olov4m,TheDragonsHearth,1h 27m 56s,5276,https://www.speedrun.com/spyrortconsoletimetrials/runs/m3olov4m
2018-11-21,zx4n2kky,ChrisLBC,1h 25m 14s,5114,https://www.speedrun.com/spyrortconsoletimetrials/runs/zx4n2kky
2018-11-22,yo2l395z,Jumpyluff,1h 21m 03s,4863,https://www.speedrun.com/spyrortconsoletimetrials/runs/yo2l395z
2018-11-25,y926v1ez,Jumpyluff,1h 19m 17s,4757,https://www.speedrun.com/spyrortconsoletimetrials/runs/y926v1ez
2018-12-06,z03j9l8z,LuluPatate,1h 19m 04s,4744,https://www.speedrun.com/spyrortconsoletimetrials/runs/z03j9l8z
2018-12-08,mk90861z,ChrisLBC,1h 17m 38s,4658,https://www.speedrun.com/spyrortconsoletimetrials/runs/mk90861z
2018-12-09,yo2n3wdz,ChrisLBC,1h 17m 01s,4621,https://www.speedrun.com/spyrortconsoletimetrials/runs/yo2n3wdz
2018-12-10,y2qgv2wy,Jumpyluff,1h 15m 27s,4527,https://www.speedrun.com/spyrortconsoletimetrials/runs/y2qgv2wy
2018-12-10,zn4v1ovm,Jumpyluff,1h 14m 56s,4496,https://www.speedrun.com/spyrortconsoletimetrials/runs/zn4v1ovm
2018-12-10,yl46qoxm,Jumpyluff,1h 14m 23s,4463,https://www.speedrun.com/spyrortconsoletimetrials/runs/yl46qoxm
2018-12-12,mr8l68gy,Jumpyluff,1h 12m 09s,4329,https://www.speedrun.com/spyrortconsoletimetrials/runs/mr8l68gy
2019-01-27,yj4e40oy,ChrisLBC,1h 11m 55s,4315,https://www.speedrun.com/spyrortconsoletimetrials/runs/yj4e40oy
2019-04-27,m3op2o4m,ChrisLBC,1h 11m 50s,4310,https://www.speedrun.com/spyrortconsoletimetrials/runs/m3op2o4m
2019-04-28,me8qdp8m,ChrisLBC,1h 11m 47s,4307,https://www.speedrun.com/spyrortconsoletimetrials/runs/me8qdp8m
2019-04-28,yo2w85jz,ChrisLBC,1h 10m 10s,4210,https://www.speedrun.com/spyrortconsoletimetrials/runs/yo2w85jz
2020-12-11,y2dwx86z,Bobby,1h 09m 52s,4192,https://www.speedrun.com/spyrortconsoletimetrials/runs/y2dwx86z
2021-07-26,m379k6gz,DrHouse,1h 09m 01s,4141,https://www.speedrun.com/spyrortconsoletimetrials/runs/m379k6gz
2021-12-13,yjx48ndz,COT_Raven,1h 06m 24s,3984,https://www.speedrun.com/spyrortconsoletimetrials/runs/yjx48ndz
2021-12-27,zxldk75z,COT_Raven,1h 05m 09s,3909,https://www.speedrun.com/spyrortconsoletimetrials/runs/zxldk75z
2022-11-25,m3xev46m,Narwhal,1h 04m 24s,3864,https://www.speedrun.com/spyrortconsoletimetrials/runs/m3xev46m
2022-12-05,znj8qxlm,Narwhal,1h 04m 20s,3860,https://www.speedrun.com/spyrortconsoletimetrials/runs/znj8qxlm
2022-12-07,yv8gx66m,Narwhal,1h 04m 09s,3849,https://www.speedrun.com/spyrortconsoletimetrials/runs/yv8gx66m
2022-12-08,y80qnd1m,Narwhal,1h 04m 07s,3847,https://www.speedrun.com/spyrortconsoletimetrials/runs/y80qnd1m
2022-12-10,y809q9wm,Narwhal,1h 03m 39s,3819,https://www.speedrun.com/spyrortconsoletimetrials/runs/y809q9wm
2024-01-18,y6q8e7qz,Narwhal,1h 03m 27s,3807,https://www.speedrun.com/spyrortconsoletimetrials/runs/y6q8e7qz
2024-02-10,yld3qn2m,groxu,1h 02m 27s,3747,https://www.speedrun.com/spyrortconsoletimetrials/runs/yld3qn2m
